"rental_id","rental_date","payment_id","amount","country_id","country","customer_id","full_name","film_id"
10126,"2005-07-31 21:36:07",29437,0.99,15,"Brazil",39,"Debra Nelson",1
14798,"2005-08-22 00:44:08",23571,0.99,15,"Brazil",92,"Tina Simmons",1
11758,"2005-08-17 09:33:02",22036,8.99,23,"China",533,"Jessie Milam",2
15788,"2005-08-23 13:54:39",19548,2.99,103,"United States",269,"Cassandra Walters",3
12727,"2005-08-18 21:45:15",24395,2.99,15,"Brazil",178,"Marion Snyder",3
2090,"2005-06-17 18:06:14",19270,2.99,23,"China",197,"Sue Peters",4
11714,"2005-08-17 07:34:55",24135,2.99,23,"China",151,"Megan Palmer",4
5682,"2005-07-10 08:51:39",25565,2.99,23,"China",302,"Michael Silverman",4
15199,"2005-08-22 16:17:49",24703,2.99,15,"Brazil",216,"Natalie Meyer",4
12764,"2005-08-18 23:14:15",24447,3.99,15,"Brazil",183,"Ida Andrews",6
10526,"2005-08-01 11:55:33",22807,6.99,103,"United States",14,"Betty White",6
11944,"2005-08-17 17:02:42",20670,3.99,23,"China",389,"Alan Kahn",6
7810,"2005-07-28 08:00:38",28219,4.99,103,"United States",537,"Clinton Buford",6
12463,"2005-08-18 11:31:34",24676,4.99,103,"United States",214,"Kristin Johnston",6
7156,"2005-07-27 07:19:34",30746,4.99,23,"China",154,"Michele Grant",7
6287,"2005-07-11 17:00:04",30039,4.99,23,"China",93,"Phyllis Foster",7
12500,"2005-08-18 13:05:51",19938,4.99,15,"Brazil",310,"Daniel Cabral",7
14483,"2005-08-21 13:43:59",19616,5.99,103,"United States",275,"Carole Barnett",8
15989,"2005-08-23 20:24:36",23602,4.99,103,"United States",96,"Diana Alexander",8
5745,"2005-07-10 12:10:11",25605,8.99,103,"United States",305,"Richard Mccrary",9
15802,"2005-08-23 14:26:51",24213,5.99,103,"United States",158,"Veronica Stone",9
15639,"2005-08-23 08:03:25",24685,2.99,103,"United States",214,"Kristin Johnston",9
15776,"2005-08-23 13:26:01",21867,5.99,23,"China",514,"Franklin Troutman",9
12704,"2005-08-18 20:43:00",23574,4.99,23,"China",93,"Phyllis Foster",10
2517,"2005-06-19 00:11:26",18782,0.99,15,"Brazil",74,"Denise Kelly",11
13544,"2005-08-20 03:44:26",22086,1.99,23,"China",538,"Ted Breaux",11
10045,"2005-07-31 19:04:35",30329,1.99,103,"United States",118,"Kim Cruz",11
2033,"2005-06-17 13:24:43",18853,0.99,23,"China",90,"Ruby Washington",11
11631,"2005-08-17 04:28:56",24292,1.99,23,"China",168,"Regina Berry",11
6936,"2005-07-26 23:13:34",28230,0.99,23,"China",538,"Ted Breaux",12
13625,"2005-08-20 06:52:03",21002,1.99,23,"China",422,"Melvin Ellington",12
1724,"2005-06-16 15:15:43",19063,1.99,103,"United States",146,"Jamie Rice",12
8563,"2005-07-29 11:32:58",29738,1.99,23,"China",67,"Kelly Torres",12
2725,"2005-06-19 15:01:23",19430,0.99,15,"Brazil",246,"Marian Mendoza",12
5498,"2005-07-10 00:27:21",25564,0.99,23,"China",302,"Michael Silverman",12
15591,"2005-08-23 06:11:52",23284,0.99,103,"United States",62,"Joan Cooper",12
13037,"2005-08-19 08:53:57",19609,3.99,103,"United States",275,"Carole Barnett",12
2074,"2005-06-17 16:40:03",18094,2.99,23,"China",495,"Charlie Bess",15
15565,"2005-08-23 05:13:09",22159,4.99,23,"China",546,"Kelly Knott",15
6090,"2005-07-11 05:47:08",31645,6.99,23,"China",241,"Heidi Larson",15
4443,"2005-07-07 23:05:53",26554,6.99,23,"China",389,"Alan Kahn",15
2699,"2005-06-19 13:29:28",19514,2.99,23,"China",267,"Margie Wade",15
10362,"2005-08-01 05:55:13",24421,6.99,103,"United States",181,"Ana Bradley",15
8863,"2005-07-29 23:52:01",29527,3.99,15,"Brazil",47,"Frances Parker",15
10230,"2005-08-01 01:49:36",20756,2.99,15,"Brazil",398,"Antonio Meek",15
1930,"2005-06-17 06:50:46",18936,2.99,103,"United States",112,"Rosa Reynolds",16
13606,"2005-08-20 06:07:01",24073,4.99,103,"United States",146,"Jamie Rice",17
5901,"2005-07-10 20:22:12",30863,6.99,23,"China",165,"Lorraine Stephens",17
14418,"2005-08-21 11:14:26",21173,1.99,23,"China",442,"Leroy Bustamante",18
8646,"2005-07-29 14:48:48",25572,0.99,23,"China",302,"Michael Silverman",18
