"rental_count","full_name","city","country"
46,"Eleanor Hunt","Saint-Denis","Runion"
45,"Karl Seal","Cape Coral","United States"
42,"Clara Shaw","Molodetno","Belarus"
42,"Marcia Dean","Tanza","Philippines"
41,"Tammy Sanders","Changhwa","Taiwan"
40,"Wesley Bull","Ourense (Orense)","Spain"
40,"Sue Peters","Changzhou","China"
39,"Tim Cary","Bijapur","India"
39,"Rhonda Kennedy","Apeldoorn","Netherlands"
39,"Marion Snyder","Santa Brbara dOeste","Brazil"
38,"Daisy Bates","Kolpino","Russian Federation"
38,"Elizabeth Brown","Nantou","Taiwan"
38,"Tommy Collazo","Qomsheh","Iran"
38,"Curtis Irby","Richmond Hill","Canada"
37,"Marsha Douglas","Beira","Mozambique"
37,"Elsie Kelley","Ikerre","Nigeria"
37,"June Carroll","Skikda","Algeria"
37,"Brandon Huey","Balikesir","Turkey"
36,"Margie Wade","Lengshuijiang","China"
36,"Russell Brinson","Tychy","Poland"
36,"Alexander Fennell","Bergamo","Italy"
36,"Justin Ngo","Santo Andr","Brazil"
36,"Roger Quintanilla","Hsichuh","Taiwan"
36,"Angela Hernandez","Shimonoseki","Japan"
35,"Harry Arce","Najafabad","Iran"
35,"Alma Austin","Mannheim","Germany"
35,"Leslie Seward","Pontianak","Indonesia"
35,"Mike Way","Valparai","India"
35,"Naomi Jennings","Karnal","India"
35,"Michelle Clark","Tangail","Bangladesh"
35,"Priscilla Lowe","Salamanca","Mexico"
35,"Lois Butler","Bandar Seri Begawan","Brunei"
35,"Billy Poulin","Cabuyao","Philippines"
35,"Rosemary Schmidt","Usak","Turkey"
35,"Bobby Boudreau","South Hill","Anguilla"
35,"Louis Leone","Tanauan","Philippines"
35,"Diane Collins","Omdurman","Sudan"
34,"Sherry Marshall","Shubra al-Khayma","Egypt"
34,"Hazel Warren","Hohhot","China"
34,"Casey Mena","Tokat","Turkey"
34,"Brett Cornwell","Siliguri (Shiliguri)","India"
34,"Ana Bradley","Memphis","United States"
34,"Joanne Robertson","Urawa","Japan"
34,"Morris Mccarter","Fengshan","Taiwan"
34,"Catherine Campbell","Moscow","Russian Federation"
34,"Ralph Madrigal","Arecibo","Puerto Rico"
34,"Steve Mackenzie","Probolinggo","Indonesia"
34,"Jorge Olivares","Lhokseumawe","Indonesia"
34,"Carrie Porter","Liaocheng","China"
34,"Minnie Romero","Ciomas","Indonesia"
34,"Melissa King","Lungtan","Taiwan"
34,"Regina Berry","Jinchang","China"
34,"Stacey Montgomery","Fuyu","China"
34,"Jessica Hall","Citt del Vaticano","Holy See (Vatican City State)"
34,"Gertrude Castillo","Nuuk","Greenland"
34,"Martha Gonzalez","Chisinau","Moldova"
34,"Heidi Larson","Xiangfan","China"
34,"Janice Ward","Malm","Sweden"
33,"Barry Lovelace","Kitwe","Zambia"
33,"Judith Cox","Daxian","China"
33,"Arnold Havens","Santa Rosa","Philippines"
33,"Sherri Rhodes","Ahmadnagar","India"
33,"Bernice Willis","Batman","Turkey"
33,"Jacqueline Long","Songkhla","Thailand"
33,"Crystal Ford","Ashdod","Israel"
33,"Maria Miller","Kragujevac","Yugoslavia"
33,"Tanya Gilbert","Naju","South Korea"
33,"Jessie Milam","Binzhou","China"
33,"Alice Stewart","Fontana","United States"
33,"Alex Gresham","Uruapan","Mexico"
33,"Sara Perry","Atlixco","Mexico"
33,"Grace Ellis","Duisburg","Germany"
33,"Shawn Heaton","Nakhon Sawan","Thailand"
33,"Warren Sherrod","Usolje-Sibirskoje","Russian Federation"
33,"Jim Rea","El Fuerte","Mexico"
33,"Joy George","Botosani","Romania"
33,"George Linton","Sorocaba","Brazil"
32,"Mary Smith","Sasebo","Japan"
32,"Nicholas Barfield","Belm","Brazil"
32,"Virginia Green","Toulouse","France"
32,"Veronica Stone","Greensboro","United States"
32,"Tonya Chapman","Bhilwara","India"
32,"Debbie Reyes","Fukuyama","Japan"
32,"Charles Kowalski","Sungai Petani","Malaysia"
32,"Julia Flores","La Plata","Argentina"
32,"Cynthia Young","Munger (Monghyr)","India"
32,"Gordon Allard","Hodeida","Yemen"
32,"Harold Martino","Boa Vista","Brazil"
32,"Javier Elrod","NDjamna","Chad"
32,"Thelma Murray","Lima","Peru"
32,"Leonard Schofield","Tandil","Argentina"
32,"Viola Hanson","Lapu-Lapu","Philippines"
32,"Leroy Bustamante","Tongliao","China"
32,"Sylvia Ortiz","Dos Quebradas","Colombia"
32,"Sally Pierce","Chandrapur","India"
32,"Ethel Webb","Boksburg","South Africa"
32,"Lena Jensen","Halisahar","India"
32,"Arthur Simpkins","Maikop","Russian Federation"
32,"Tom Milner","Abu Dhabi","United Arab Emirates"
